OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
1,GO-2004111878,2004.01.03,2004,January,3,Saturday,3,D53,Other,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),-79.3928506,43.68501978
2,GO-2004125755,2004.01.08,2004,January,8,Thursday,8,D42,Shooting,142,Woburn North,137,Woburn (137),-79.23388715,43.78174054
3,GO-2004136086,2004.01.08,2004,January,8,Thursday,8,D42,Shooting,146,Malvern East,132,Malvern (132),-79.20689374,43.81084933
4,GO-2004148623,2004.01.25,2004,January,25,Sunday,25,D13,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.4343959,43.67046556
5,GO-2004148619,2004.01.25,2004,January,25,Sunday,25,D42,Shooting,144,Morningside Heights,131,Rouge (131),-79.20386233,43.82353541
6,GO-2004152518,2004.02.20,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.50863063,43.72090918
7,GO-2004152518,2004.02.20,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.50863063,43.72090918
8,GO-2004172092,2004.02.21,2004,February,21,Saturday,52,D31,Shooting,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.50897606,43.72235792
9,GO-2004133635,2004.02.21,2004,February,21,Saturday,52,D23,Other,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.59286375,43.74310677
10,GO-2004218803,2004.03.03,2004,March,3,Wednesday,63,D42,Shooting,144,Morningside Heights,131,Rouge (131),-79.2275972,43.81625981
11,GO-2004218585,2004.03.03,2004,March,3,Wednesday,63,D42,Shooting,129,Agincourt North,129,Agincourt North (129),-79.26650286,43.80802063
12,GO-2004301868,2004.03.03,2004,March,3,Wednesday,63,D54,Shooting,58,Old East York,58,Old East York (58),-79.32933713,43.69737643
13,GO-2004200779,2004.03.04,2004,March,4,Thursday,64,D41,Shooting,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.28672612,43.70007819
14,GO-2004229133,2004.03.13,2004,March,13,Saturday,73,D41,Stabbing,142,Woburn North,137,Woburn (137),-79.24251743,43.76707544
15,GO-2004219659,2004.03.18,2004,March,18,Thursday,78,D53,Other,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.42748485,43.70973239
16,GO-2004219687,2004.03.24,2004,March,24,Wednesday,84,D42,Other,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),-79.22532108,43.75981655
17,GO-2004256410,2004.04.01,2004,April,1,Thursday,92,D51,Other,73,Moss Park,73,Moss Park (73),-79.37135298,43.65906716
18,GO-2004250857,2004.04.13,2004,April,13,Tuesday,104,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),-79.55056133,43.72509069
19,GO-2004350484,2004.05.01,2004,May,1,Saturday,122,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.57928375,43.73523489
20,GO-2004311851,2004.05.15,2004,May,15,Saturday,136,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.51875893,43.76915718
21,GO-2004311870,2004.05.19,2004,May,19,Wednesday,140,D22,Stabbing,20,Alderwood,20,Alderwood (20),-79.54413998,43.59430558
22,GO-2004374908,2004.05.20,2004,May,20,Thursday,141,D13,Other,31,Yorkdale-Glen Park,31,Yorkdale-Glen Park (31),-79.45703965,43.71015855
23,GO-2004374867,2004.05.21,2004,May,21,Friday,142,D51,Shooting,72,Regent Park,72,Regent Park (72),-79.36299801,43.66008107
24,GO-2004408720,2004.05.21,2004,May,21,Friday,142,D23,Other,3,Thistletown-Beaumond Heights,3,Thistletown-Beaumond Heights (3),-79.57908532,43.73713165
25,GO-2004308782,2004.05.22,2004,May,22,Saturday,143,D31,Shooting,29,Maple Leaf,29,Maple Leaf (29),-79.47898028,43.71406783
26,GO-2004418221,2004.05.25,2004,May,25,Tuesday,146,D11,Other,86,Roncesvalles,86,Roncesvalles (86),-79.43797411,43.642272
27,GO-2004456650,2004.06.01,2004,June,1,Tuesday,153,D51,Other,73,Moss Park,73,Moss Park (73),-79.37445106,43.66019618
28,GO-2004455137,2004.06.04,2004,June,4,Friday,156,D14,Shooting,85,South Parkdale,85,South Parkdale (85),-79.42812551,43.63597506
29,GO-2004456829,2004.06.18,2004,June,18,Friday,170,D51,Stabbing,73,Moss Park,73,Moss Park (73),-79.36900509,43.65461429
30,GO-2004510813,2004.06.19,2004,June,19,Saturday,171,D31,Shooting,23,Pelmo Park-Humberlea,23,Pelmo Park-Humberlea (23),-79.53517668,43.71119696
31,GO-2004564223,2004.07.01,2004,July,1,Thursday,183,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.52266531,43.77213497
32,GO-2004565547,2004.07.05,2004,July,5,Monday,187,D41,Stabbing,121,Oakridge,121,Oakridge (121),-79.27579757,43.69953446
33,GO-2004565561,2004.07.07,2004,July,7,Wednesday,189,D22,Stabbing,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.48524733,43.63014616
34,GO-2004564251,2004.07.08,2004,July,8,Thursday,190,D31,Stabbing,28,Rustic,28,Rustic (28),-79.50534135,43.70840838
35,GO-2004565588,2004.07.09,2004,July,9,Friday,191,D32,Stabbing,151,Yonge-Doris,51,Willowdale East (51),-79.41266712,43.7683879
36,GO-2004986698,2004.07.12,2004,July,12,Monday,194,D42,Other,146,Malvern East,132,Malvern (132),-79.23605587,43.79187153
37,GO-2004592201,2004.07.21,2004,July,21,Wednesday,203,D33,Shooting,48,Hillcrest Village,48,Hillcrest Village (48),-79.35633594,43.80085341
38,GO-2004593866,2004.07.23,2004,July,23,Friday,205,D11,Other,90,Junction Area,90,Junction Area (90),-79.46764916,43.66324515
39,GO-2004594159,2004.07.24,2004,July,24,Saturday,206,D51,Shooting,73,Moss Park,73,Moss Park (73),-79.36561755,43.65091268
40,GO-2004607864,2004.08.05,2004,August,5,Thursday,218,D11,Other,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.45339168,43.66331406
41,GO-2004616055,2004.08.18,2004,August,18,Wednesday,231,D31,Stabbing,28,Rustic,28,Rustic (28),-79.50383466,43.70287184
42,GO-2004605174,2004.08.19,2004,August,19,Thursday,232,D13,Stabbing,108,Briar Hill-Belgravia,108,Briar Hill-Belgravia (108),-79.44110533,43.70224717
43,GO-2004592255,2004.08.30,2004,August,30,Monday,243,D42,Shooting,134,Highland Creek,134,Highland Creek (134),-79.15777869,43.7938428
44,GO-2004635798,2004.08.30,2004,August,30,Monday,243,D51,Other,73,Moss Park,73,Moss Park (73),-79.37271244,43.6523424
45,GO-2004642839,2004.08.31,2004,August,31,Tuesday,244,D31,Stabbing,22,Humbermede,22,Humbermede (22),-79.54569487,43.75136344
46,GO-2004642110,2004.09.05,2004,September,5,Sunday,249,D23,Shooting,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.56143908,43.70063331
47,GO-2004650681,2004.09.21,2004,September,21,Tuesday,265,D23,Shooting,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.61427066,43.7321828
48,GO-2004633558,2004.09.22,2004,September,22,Wednesday,266,D11,Other,27,York University Heights,27,York University Heights (27),-79.4907815,43.7454545
49,GO-2004676448,2004.10.08,2004,October,8,Friday,282,D55,Other,70,South Riverdale,70,South Riverdale (70),-79.33727318,43.66055705
50,GO-2004683174,2004.10.15,2004,October,15,Friday,289,D31,Shooting,28,Rustic,28,Rustic (28),-79.50054845,43.71126133
51,GO-2004643900,2004.10.21,2004,October,21,Thursday,295,D11,Other,88,High Park North,88,High Park North (88),-79.47286749,43.65187285
52,GO-2004696852,2004.10.27,2004,October,27,Wednesday,301,D53,Other,99,Mount Pleasant East,99,Mount Pleasant East (99),-79.37858096,43.70101372
53,GO-2004697185,2004.11.12,2004,November,12,Friday,317,D13,Other,92,Corso Italia-Davenport,92,Corso Italia-Davenport (92),-79.44952146,43.67511536
54,GO-2004734705,2004.12.01,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.42871686,43.66929822
55,GO-2004734705,2004.12.01,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.42871686,43.66929822
56,GO-2004735933,2004.12.02,2004,December,2,Thursday,337,D42,Other,133,Centennial Scarborough,133,Centennial Scarborough (133),-79.1692872,43.78200685
57,GO-2004734029,2004.12.03,2004,December,3,Friday,338,D54,Stabbing,58,Old East York,58,Old East York (58),-79.32814143,43.69607463
58,GO-2004735980,2004.12.11,2004,December,11,Saturday,346,D33,Stabbing,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.38496786,43.75214384
59,GO-2004730198,2004.12.11,2004,December,11,Saturday,346,D14,Stabbing,79,University,79,University (79),-79.4010302,43.65781019
60,GO-2004775505,2004.12.12,2004,December,12,Sunday,347,D54,Stabbing,54,O'Connor-Parkview,54,O'Connor-Parkview (54),-79.30898729,43.70867374
61,GO-2004736004,2004.12.19,2004,December,19,Sunday,354,D51,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.3788698,43.66066473
62,GO-2004811677,2004.12.19,2004,December,19,Sunday,354,D41,Shooting,124,Kennedy Park,124,Kennedy Park (124),-79.25651332,43.73074067
63,GO-2004730003,2004.12.20,2004,December,20,Monday,355,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.32777746,43.71261455
64,GO-2004860547,2004.12.31,2004,December,31,Friday,366,D42,Stabbing,123,Cliffcrest,123,Cliffcrest (123),-79.23591377,43.73537465
65,GO-2005879569,2005.01.14,2005,January,14,Friday,14,D42,Stabbing,130,Milliken,130,Milliken (130),-79.2652407,43.82737369
66,GO-2005910043,2005.01.18,2005,January,18,Tuesday,18,D14,Stabbing,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.42405096,43.66597439
67,GO-2005920738,2005.01.21,2005,January,21,Friday,21,D14,Shooting,162,West Queen West,82,Niagara (82),-79.40732427,43.64257868
68,GO-2005920738,2005.01.21,2005,January,21,Friday,21,D14,Shooting,162,West Queen West,82,Niagara (82),-79.40732427,43.64257868
69,GO-20051003568,2005.01.24,2005,January,24,Monday,24,D42,Other,116,Steeles,116,Steeles (116),-79.33214583,43.80720598
70,GO-2005812174,2005.01.26,2005,January,26,Wednesday,26,D31,Other,24,Black Creek,24,Black Creek (24),-79.52142353,43.77320183
71,GO-2005733656,2005.02.11,2005,February,11,Friday,42,D12,Other,91,Weston-Pelham Park,91,Weston-Pellam Park (91),-79.45579075,43.67033026
72,GO-2005951634,2005.02.11,2005,February,11,Friday,42,D33,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2822541,43.76941531
73,GO-2005736672,2005.02.12,2005,February,12,Saturday,43,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5875824,43.75464813
74,GO-2005768554,2005.02.15,2005,February,15,Tuesday,46,D41,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2822541,43.76941531
75,GO-2005918414,2005.02.15,2005,February,15,Tuesday,46,D51,Shooting,74,North St.James Town,74,North St.James Town (74),-79.37377428,43.66728915
76,GO-2005929672,2005.02.18,2005,February,18,Friday,49,D22,Other,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),-79.4918694,43.61327817
77,GO-2005969241,2005.02.28,2005,February,28,Monday,59,D32,Shooting,36,Newtonbrook West,36,Newtonbrook West (36),-79.4460503,43.78591163
78,GO-2005953786,2005.03.05,2005,March,5,Saturday,64,D33,Shooting,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.35630182,43.74097582
79,GO-2005745939,2005.03.11,2005,March,11,Friday,70,D22,Stabbing,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.49823058,43.62391333
80,GO-2005758352,2005.03.25,2005,March,25,Friday,84,D51,Shooting,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.37937119,43.66186954
81,GO-2005884190,2005.04.13,2005,April,13,Wednesday,103,D41,Shooting,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),-79.28125575,43.68530647
82,GO-20051052948,2005.04.18,2005,April,18,Monday,108,D11,Shooting,85,South Parkdale,85,South Parkdale (85),-79.43603377,43.63717019
83,GO-20051006774,2005.04.19,2005,April,19,Tuesday,109,D52,Other,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.38444074,43.64230121
84,GO-2005739652,2005.04.24,2005,April,24,Sunday,114,D31,Shooting,21,Humber Summit,21,Humber Summit (21),-79.55297972,43.75143328
85,GO-2005736140,2005.05.04,2005,May,4,Wednesday,124,D42,Stabbing,129,Agincourt North,129,Agincourt North (129),-79.28169871,43.80845778
86,GO-2005739574,2005.05.05,2005,May,5,Thursday,125,D14,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.43536217,43.65987759
87,GO-2005737037,2005.05.05,2005,May,5,Thursday,125,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.51390331,43.75463836
88,GO-2005756176,2005.05.08,2005,May,8,Sunday,128,D54,Shooting,66,Danforth,66,Danforth (66),-79.34177509,43.67956123
89,GO-20051001532,2005.05.14,2005,May,14,Saturday,134,D51,Shooting,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.38152129,43.66845367
90,GO-2005863844,2005.05.15,2005,May,15,Sunday,135,D41,Shooting,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),-79.24524616,43.78324832
91,GO-2005988453,2005.05.18,2005,May,18,Wednesday,138,D42,Shooting,136,West Hill,136,West Hill (136),-79.19065218,43.75870273
92,GO-2005781084,2005.05.27,2005,May,27,Friday,147,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5096773,43.73966652
93,GO-2005760646,2005.06.12,2005,June,12,Sunday,163,D55,Shooting,62,East End-Danforth,62,East End-Danforth (62),-79.29491704,43.68971268
94,GO-20051000509,2005.06.24,2005,June,24,Friday,175,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.52186721,43.76676342
95,GO-2005834756,2005.06.25,2005,June,25,Saturday,176,D32,Stabbing,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.44132042,43.72081612
96,GO-20051086009,2005.06.29,2005,June,29,Wednesday,180,D14,Shooting,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.43840457,43.66695635
97,GO-2005884293,2005.07.06,2005,July,6,Wednesday,187,D23,Shooting,22,Humbermede,22,Humbermede (22),-79.56827627,43.74631397
98,GO-20051150352,2005.07.15,2005,July,15,Friday,196,D42,Other,136,West Hill,136,West Hill (136),-79.19167772,43.76981817
99,GO-2005863854,2005.07.17,2005,July,17,Sunday,198,D41,Other,121,Oakridge,121,Oakridge (121),-79.27256053,43.69468894
100,GO-20051059962,2005.07.19,2005,July,19,Tuesday,200,D12,Shooting,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111),-79.48213503,43.68062582
101,GO-20051070618,2005.07.20,2005,July,20,Wednesday,201,D33,Other,149,Parkwoods-O'Connor Hills,45,Parkwoods-Donalda (45),-79.3258448,43.74336318
102,GO-20051135001,2005.07.30,2005,July,30,Saturday,211,D31,Shooting,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.44101856,43.72012088
103,GO-20051033503,2005.07.30,2005,July,30,Saturday,211,D42,Shooting,148,East L'Amoreaux,117,L'Amoreaux (117),-79.31576263,43.79676688
104,GO-20051148137,2005.07.31,2005,July,31,Sunday,212,D52,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.38108203,43.65831636
105,GO-20051041793,2005.08.03,2005,August,3,Wednesday,215,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.58321011,43.73298162
106,GO-20051102449,2005.08.05,2005,August,5,Friday,217,D42,Shooting,147,L'Amoreaux West,117,L'Amoreaux (117),-79.33312856,43.7981694
107,GO-20051068304,2005.08.07,2005,August,7,Sunday,219,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.37551634,43.66573486
108,GO-20051068304,2005.08.07,2005,August,7,Sunday,219,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.37551634,43.66573486
109,GO-2005985817,2005.08.13,2005,August,13,Saturday,225,D23,Shooting,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8),-79.52058531,43.69581381
110,GO-20051156816,2005.08.15,2005,August,15,Monday,227,D51,Shooting,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.37468029,43.66708833
111,GO-20051072514,2005.08.16,2005,August,16,Tuesday,228,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.33495372,43.71872428
112,GO-2005117846,2005.08.18,2005,August,18,Thursday,230,D41,Other,156,Bendale-Glen Andrew,127,Bendale (127),-79.26662183,43.75811664
113,GO-20051183577,2005.08.20,2005,August,20,Saturday,232,D22,Other,18,New Toronto,18,New Toronto (18),-79.50728385,43.6025305
114,GO-20051189864,2005.08.25,2005,August,25,Thursday,237,D42,Shooting,139,Scarborough Village,139,Scarborough Village (139),-79.22055842,43.74282882
115,GO-2005761120,2005.08.30,2005,August,30,Tuesday,242,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.50952213,43.73912094
116,GO-20051178414,2005.08.31,2005,August,31,Wednesday,243,D51,Other,73,Moss Park,73,Moss Park (73),-79.37011896,43.65615654
117,GO-20051389771,2005.09.06,2005,September,6,Tuesday,249,D33,Stabbing,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.34365243,43.74026784
118,GO-20051101797,2005.09.08,2005,September,8,Thursday,251,D31,Shooting,28,Rustic,28,Rustic (28),-79.50130898,43.70498182
119,GO-2005739598,2005.09.09,2005,September,9,Friday,252,D14,Shooting,163,Fort York-Liberty Village,82,Niagara (82),-79.40009206,43.63558179
120,GO-20051096519,2005.09.10,2005,September,10,Saturday,253,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.51476374,43.76720514
121,GO-20051203047,2005.09.13,2005,September,13,Tuesday,256,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5163405,43.75188656
122,GO-20051139553,2005.09.16,2005,September,16,Friday,259,D14,Shooting,85,South Parkdale,85,South Parkdale (85),-79.4342743,43.63630227
123,GO-20051156513,2005.09.16,2005,September,16,Friday,259,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),-79.54936006,43.72728306
124,GO-20051156513,2005.09.16,2005,September,16,Friday,259,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),-79.54936006,43.72728306
125,GO-20051156513,2005.09.16,2005,September,16,Friday,259,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),-79.54936006,43.72728306
126,GO-20051158528,2005.09.19,2005,September,19,Monday,262,D32,Stabbing,33,Clanton Park,33,Clanton Park (33),-79.44008175,43.73610312
127,GO-20051228892,2005.09.22,2005,September,22,Thursday,265,D54,Other,58,Old East York,58,Old East York (58),-79.33526113,43.69453922
128,GO-20051141576,2005.10.01,2005,October,1,Saturday,274,D42,Stabbing,136,West Hill,136,West Hill (136),-79.16262795,43.77038864
129,GO-20051325246,2005.10.22,2005,October,22,Saturday,295,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5885304,43.73868832
130,GO-20051265274,2005.10.23,2005,October,23,Sunday,296,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5916995,43.73676687
131,GO-20051265274,2005.10.23,2005,October,23,Sunday,296,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.5916995,43.73676687
132,GO-20051317338,2005.11.01,2005,November,1,Tuesday,305,D42,Shooting,147,L'Amoreaux West,117,L'Amoreaux (117),-79.33312856,43.7981694
133,GO-20051293148,2005.11.02,2005,November,2,Wednesday,306,D54,Other,54,O'Connor-Parkview,54,O'Connor-Parkview (54),-79.30157306,43.71529984
134,GO-20051283750,2005.11.05,2005,November,5,Saturday,309,D14,Other,85,South Parkdale,85,South Parkdale (85),-79.43387291,43.63932014
135,GO-20051345445,2005.11.09,2005,November,9,Wednesday,313,D13,Shooting,108,Briar Hill-Belgravia,108,Briar Hill-Belgravia (108),-79.44278975,43.69729598
136,GO-20051356083,2005.11.12,2005,November,12,Saturday,316,D32,Stabbing,153,Avondale,51,Willowdale East (51),-79.40656984,43.75649487
137,GO-20051322417,2005.11.14,2005,November,14,Monday,318,D12,Shooting,91,Weston-Pelham Park,91,Weston-Pellam Park (91),-79.46362682,43.68071577
138,GO-20051258191,2005.11.18,2005,November,18,Friday,322,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.59230675,43.74237026
139,GO-20051337264,2005.11.26,2005,November,26,Saturday,330,D41,Stabbing,126,Dorset Park,126,Dorset Park (126),-79.27737099,43.74557201
140,GO-20051428567,2005.11.29,2005,November,29,Tuesday,333,D11,Shooting,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.44868158,43.65957074
141,GO-20051440086,2005.12.01,2005,December,1,Thursday,335,D31,Shooting,NSA,NSA,NSA,NSA,-79.54382092,43.77294089
142,GO-20051439907,2005.12.16,2005,December,16,Friday,350,D53,Other,102,Forest Hill North,102,Forest Hill North (102),-79.42685286,43.70709886
143,GO-20051443414,2005.12.23,2005,December,23,Friday,357,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.51668932,43.75185003
144,GO-20051229258,2005.12.26,2005,December,26,Monday,360,D52,Shooting,64,Woodbine Corridor,64,Woodbine Corridor (64),-79.3176661,43.68462092
145,GO-20061426456,2006.01.01,2006,January,1,Sunday,1,D13,Shooting,108,Briar Hill-Belgravia,108,Briar Hill-Belgravia (108),-79.44732917,43.6963527
146,GO-20061557753,2006.01.26,2006,January,26,Thursday,26,D32,Other,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.41491774,43.73517512
147,GO-20061361475,2006.02.06,2006,February,6,Monday,37,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.50047435,43.7449688
148,GO-20061511490,2006.02.08,2006,February,8,Wednesday,39,D54,Stabbing,44,Flemingdon Park,44,Flemingdon Park (44),-79.33495372,43.71872428
149,GO-20061624304,2006.02.09,2006,February,9,Thursday,40,D42,Stabbing,147,L'Amoreaux West,117,L'Amoreaux (117),-79.33038092,43.79669558
150,GO-20061624304,2006.02.09,2006,February,9,Thursday,40,D42,Stabbing,147,L'Amoreaux West,117,L'Amoreaux (117),-79.33038092,43.79669558
151,GO-20061624304,2006.02.09,2006,February,9,Thursday,40,D42,Stabbing,147,L'Amoreaux West,117,L'Amoreaux (117),-79.33038092,43.79669558
152,GO-20061559867,2006.03.02,2006,March,2,Thursday,61,D54,Other,61,Taylor-Massey,61,Taylor-Massey (61),-79.29251472,43.69285848
153,GO-20061597252,2006.03.04,2006,March,4,Saturday,63,D43,Other,134,Highland Creek,134,Highland Creek (134),-79.17438663,43.79271618
154,GO-20061640987,2006.03.12,2006,March,12,Sunday,71,D31,Shooting,22,Humbermede,22,Humbermede (22),-79.54522323,43.7478746
155,GO-20061591256,2006.03.14,2006,March,14,Tuesday,73,D43,Shooting,139,Scarborough Village,139,Scarborough Village (139),-79.21891018,43.74317589
156,GO-20061479234,2006.03.20,2006,March,20,Monday,79,D51,Shooting,74,North St.James Town,74,North St.James Town (74),-79.37377428,43.66728915
157,GO-20061570672,2006.03.27,2006,March,27,Monday,86,D12,Shooting,115,Mount Dennis,115,Mount Dennis (115),-79.49091301,43.68756517
158,GO-20061671071,2006.03.27,2006,March,27,Monday,86,D31,Shooting,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.50719152,43.74846695
159,GO-20061578377,2006.04.07,2006,April,7,Friday,97,D31,Other,21,Humber Summit,21,Humber Summit (21),-79.54907202,43.75064251
160,GO-20061673447,2006.04.20,2006,April,20,Thursday,110,D31,Stabbing,155,Downsview,26,Downsview-Roding-CFB (26),-79.47342875,43.7291415
161,GO-20061636602,2006.04.26,2006,April,26,Wednesday,116,D33,Stabbing,47,Don Valley Village,47,Don Valley Village (47),-79.34431813,43.78096988
162,GO-20061473434,2006.04.29,2006,April,29,Saturday,119,D54,Shooting,44,Flemingdon Park,44,Flemingdon Park (44),-79.32852697,43.7190244
163,GO-20061686110,2006.04.29,2006,April,29,Saturday,119,D22,Stabbing,18,New Toronto,18,New Toronto (18),-79.50889593,43.60153166
164,GO-20061439616,2006.05.02,2006,May,2,Tuesday,122,D54,Stabbing,66,Danforth,66,Danforth (66),-79.32322605,43.68389458
165,GO-20061506152,2006.05.15,2006,May,15,Monday,135,D52,Stabbing,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.39410303,43.65260321
166,GO-20061714664,2006.05.17,2006,May,17,Wednesday,137,D54,Other,61,Taylor-Massey,61,Taylor-Massey (61),-79.29371928,43.6925816
167,GO-20061465047,2006.05.26,2006,May,26,Friday,146,D13,Other,106,Humewood-Cedarvale,106,Humewood-Cedarvale (106),-79.42086651,43.68618824
168,GO-20061630473,2006.05.28,2006,May,28,Sunday,148,D43,Shooting,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),-79.21567941,43.76056737
169,GO-20061558823,2006.06.02,2006,June,2,Friday,153,D54,Other,66,Danforth,66,Danforth (66),-79.33355035,43.68165435
170,GO-20061677509,2006.06.03,2006,June,3,Saturday,154,D31,Stabbing,155,Downsview,26,Downsview-Roding-CFB (26),-79.48599638,43.74286131
171,GO-20061441432,2006.06.03,2006,June,3,Saturday,154,D12,Shooting,113,Weston,113,Weston (113),-79.50657838,43.6956364
172,GO-20061433643,2006.06.12,2006,June,12,Monday,163,D31,Shooting,28,Rustic,28,Rustic (28),-79.50226868,43.71652663
173,GO-20061269372,2006.06.13,2006,June,13,Tuesday,164,D12,Stabbing,115,Mount Dennis,115,Mount Dennis (115),-79.49091301,43.68756517
174,GO-20061556233,2006.06.22,2006,June,22,Thursday,173,D31,Stabbing,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.50815463,43.71907117
175,GO-20061523520,2006.06.23,2006,June,23,Friday,174,D42,Shooting,145,Malvern West,132,Malvern (132),-79.22448013,43.80250086
176,GO-20061712933,2006.06.23,2006,June,23,Friday,174,D51,Other,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.38265705,43.66673432
177,GO-20061614702,2006.06.26,2006,June,26,Monday,177,D51,Shooting,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.3679004,43.64743567
178,GO-20061463143,2006.07.02,2006,July,2,Sunday,183,D12,Shooting,90,Junction Area,90,Junction Area (90),-79.47190263,43.6772222
179,GO-20061436777,2006.07.05,2006,July,5,Wednesday,186,D22,Shooting,20,Alderwood,20,Alderwood (20),-79.54485457,43.60084451
180,GO-20061680741,2006.07.11,2006,July,11,Tuesday,192,D51,Shooting,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.37606178,43.65545369
