OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
883,GO-20171378728,2017.07.31,2017,July,31,Monday,212,D51,Shooting,73,Moss Park,73,Moss Park (73),-79.36945603,43.65451911
884,GO-20171377317,2017.07.31,2017,July,31,Monday,212,D54,Stabbing,57,Broadview North,57,Broadview North (57),-79.35366157,43.68950015
885,GO-20171379055,2017.08.01,2017,August,1,Tuesday,213,D13,Shooting,106,Humewood-Cedarvale,106,Humewood-Cedarvale (106),-79.41996024,43.68720197
886,GO-20171499040,2017.08.17,2017,August,17,Thursday,229,D31,Stabbing,27,York University Heights,27,York University Heights (27),-79.50487885,43.75995786
887,GO-20171503946,2017.08.20,2017,August,20,Sunday,232,D14,Shooting,79,University,79,University (79),-79.40651625,43.65671576
888,GO-20171516247,2017.08.22,2017,August,22,Tuesday,234,D31,Stabbing,25,Glenfield-Jane Heights,25,Glenfield-Jane Heights (25),-79.5178468,43.75019335
889,GO-20171578601,2017.08.31,2017,August,31,Thursday,243,D31,Shooting,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.51334606,43.72198096
890,GO-20171592166,2017.09.02,2017,September,2,Saturday,245,D23,Shooting,5,Elms-Old Rexdale,5,Elms-Old Rexdale (5),-79.54572369,43.7282297
891,GO-20171593482,2017.09.06,2017,September,6,Wednesday,249,D43,Stabbing,138,Eglinton East,138,Eglinton East (138),-79.24552663,43.73944979
892,GO-20171640198,2017.09.10,2017,September,10,Sunday,253,D41,Stabbing,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),-79.26446437,43.69816225
893,GO-20171661261,2017.09.13,2017,September,13,Wednesday,256,D33,Stabbing,53,Henry Farm,53,Henry Farm (53),-79.34310796,43.76929319
894,GO-20171663919,2017.09.14,2017,September,14,Thursday,257,D41,Shooting,126,Dorset Park,126,Dorset Park (126),-79.2855495,43.76889479
895,GO-20171682920,2017.09.16,2017,September,16,Saturday,259,D52,Shooting,164,Wellington Place,77,Waterfront Communities-The Island (77),-79.38636582,43.64800312
896,GO-20171677843,2017.09.16,2017,September,16,Saturday,259,D51,Shooting,72,Regent Park,72,Regent Park (72),-79.3603238,43.66342025
897,GO-20171770154,2017.09.29,2017,September,29,Friday,272,D31,Shooting,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.51334606,43.72198096
898,GO-20171778161,2017.10.01,2017,October,1,Sunday,274,D51,Shooting,70,South Riverdale,70,South Riverdale (70),-79.35494779,43.64121572
899,GO-20171778161,2017.10.01,2017,October,1,Sunday,274,D51,Shooting,70,South Riverdale,70,South Riverdale (70),-79.35494779,43.64121572
900,GO-20171798506,2017.10.04,2017,October,4,Wednesday,277,D23,Other,4,Rexdale-Kipling,4,Rexdale-Kipling (4),-79.56978664,43.72517504
901,GO-20171807017,2017.10.05,2017,October,5,Thursday,278,D23,Shooting,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.5473517,43.69461419
902,GO-20171821632,2017.10.07,2017,October,7,Saturday,280,D54,Stabbing,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),-79.31594918,43.697519
903,GO-20171828016,2017.10.08,2017,October,8,Sunday,281,D23,Shooting,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.55184649,43.69788407
904,GO-20171856631,2017.10.13,2017,October,13,Friday,286,D14,Other,172,Dovercourt Village,93,Dovercourt-Wallace Emerson-Junction (93),-79.42543719,43.66775429
905,GO-20171864268,2017.10.14,2017,October,14,Saturday,287,D31,Shooting,21,Humber Summit,21,Humber Summit (21),-79.55297972,43.75143328
906,GO-20171897265,2017.10.20,2017,October,20,Friday,293,D53,Stabbing,55,Thorncliffe Park,55,Thorncliffe Park (55),-79.3423868,43.70514285
907,GO-20171954551,2017.10.28,2017,October,28,Saturday,301,D54,Stabbing,43,Victoria Village,43,Victoria Village (43),-79.30493587,43.71598062
908,GO-20172057548,2017.11.13,2017,November,13,Monday,317,D51,Shooting,72,Regent Park,72,Regent Park (72),-79.36601253,43.65943484
909,GO-20172060242,2017.11.14,2017,November,14,Tuesday,318,D12,Stabbing,113,Weston,113,Weston (113),-79.51940101,43.70103255
910,GO-20173043943,2017.11.21,2017,November,21,Tuesday,325,D42,Shooting,144,Morningside Heights,131,Rouge (131),-79.20177439,43.81333623
911,GO-20173095559,2017.11.29,2017,November,29,Wednesday,333,D51,Other,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.38140991,43.66682533
912,GO-20173121720,2017.12.04,2017,December,4,Monday,338,D43,Shooting,139,Scarborough Village,139,Scarborough Village (139),-79.22322781,43.74045885
913,GO-20173140530,2017.12.06,2017,December,6,Wednesday,340,D43,Other,133,Centennial Scarborough,133,Centennial Scarborough (133),-79.15053808,43.77645564
914,GO-20173181653,2017.12.12,2017,December,12,Tuesday,346,D42,Other,146,Malvern East,132,Malvern (132),-79.21120593,43.81185082
915,GO-20173201016,2017.12.15,2017,December,15,Friday,349,D33,Other,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.38217918,43.75788343
916,GO-20173201016,2017.12.15,2017,December,15,Friday,349,D33,Other,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.38217918,43.75788343
917,GO-20173205177,2017.12.16,2017,December,16,Saturday,350,D51,Shooting,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.37078557,43.6478303
918,GO-2018104863,2017.12.31,2017,December,31,Sunday,365,D53,Other,55,Thorncliffe Park,55,Thorncliffe Park (55),-79.34138354,43.70801163
919,GO-2018104863,2017.12.31,2017,December,31,Sunday,365,D52,Other,55,Thorncliffe Park,55,Thorncliffe Park (55),-79.34138354,43.70801163
920,GO-201817532,2018.01.03,2018,January,3,Wednesday,3,D23,Other,7,Willowridge-Martingrove-Richview,7,Willowridge-Martingrove-Richview (7),-79.56320142,43.68149133
921,GO-201854152,2018.01.09,2018,January,9,Tuesday,9,D23,Shooting,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8),-79.51701309,43.69402122
922,GO-2018113424,2018.01.19,2018,January,19,Friday,19,D22,Shooting,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11),-79.56841471,43.65939069
923,GO-2018113424,2018.01.19,2018,January,19,Friday,19,D22,Shooting,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11),-79.56841471,43.65939069
924,GO-2018183793,2018.01.29,2018,January,29,Monday,29,D51,Stabbing,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.3837124,43.66451369
925,GO-2018249547,2018.02.08,2018,February,8,Thursday,39,D33,Shooting,52,Bayview Village,52,Bayview Village (52),-79.38738585,43.78071974
926,GO-2018289167,2018.02.15,2018,February,15,Thursday,46,D43,Shooting,133,Centennial Scarborough,133,Centennial Scarborough (133),-79.17244463,43.78218551
927,GO-2018366454,2018.02.26,2018,February,26,Monday,57,D13,Other,96,Casa Loma,96,Casa Loma (96),-79.41708659,43.68009853
928,GO-2018393677,2018.03.02,2018,March,2,Friday,61,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.52040116,43.76882055
929,GO-2018413955,2018.03.06,2018,March,6,Tuesday,65,D33,Stabbing,150,Fenside-Parkwoods,45,Parkwoods-Donalda (45),-79.34510081,43.76309465
930,GO-2018444497,2018.03.10,2018,March,10,Saturday,69,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.58793358,43.74529478
931,GO-2018484039,2018.03.16,2018,March,16,Friday,75,D23,Shooting,8,Humber Heights-Westmount,8,Humber Heights-Westmount (8),-79.51658143,43.69382045
